case_id,case_arrival,burn_in_period,case_arrival_dt,case_assigned,resource,case_topic,initial_delay,est_NPS_priority,est_NPS,est_throughput_time,event_no,activity,activity_start,activity_end,activity_start_dt,activity_end_dt,activity_start_delay,activity_end_delay,duration,duration_delayed,case_status,F_priority_scheme,F_number_of_agents,seed,simulated_NPS,simulated_NPS_priority,simulated_throughput_time
6,2.272849267730801,False,07/03/2018 06:32:54,2.281249999999996,6,1,0.06049073226919921,1.0211712721299993,8.52117127213,1.110251225398227,5,Email,4.33334,4.718794515655365,01/05/2018 08:00:00,01/05/2018 17:15:03,0.22754917079274534,0,0.38545451565536504,0.22754917079274534,closed,NPS,7,42,5,2.809809178811511,2.822770280581241
7,2.76567294796963,False,07/03/2018 18:22:34,2.7708333333333224,0,2,0.5676670520303704,0.9470497876900001,8.44704978769,2.426003851333436,5,END,7.3748675591298785,7.763471639934718,01/08/2018 08:59:48,01/08/2018 18:19:23,2.33334,0,0.38860408080483894,2.33334,closed,NPS,7,42,3,4.32192112543215,4.997798691965087
7,2.76567294796963,False,07/03/2018 18:22:34,2.7708333333333224,0,2,0.5676670520303704,0.9470497876900001,8.44704978769,2.426003851333436,4,Email,4.687892687935603,5.041527559129878,01/05/2018 16:30:33,01/06/2018 00:59:47,0.0,0,0.3536348711942743,0.0,closed,NPS,7,42,3,4.32192112543215,4.997798691965087
7,2.76567294796963,False,07/03/2018 18:22:34,2.7708333333333224,0,2,0.5676670520303704,0.9470497876900001,8.44704978769,2.426003851333436,1,Interaction,3.33334,3.6576045628857803,01/04/2018 08:00:00,01/04/2018 15:46:57,0.23973264837996827,0,0.32426456288577993,0.23973264837996827,closed,NPS,7,42,3,4.32192112543215,4.997798691965087
7,2.76567294796963,False,07/03/2018 18:22:34,2.7708333333333224,0,2,0.5676670520303704,0.9470497876900001,8.44704978769,2.426003851333436,2,Interaction,3.6576045628857803,4.049326871300025,01/04/2018 15:46:57,01/05/2018 01:11:01,0.0,0,0.3917223084142448,0.0,closed,NPS,7,42,3,4.32192112543215,4.997798691965087
7,2.76567294796963,False,07/03/2018 18:22:34,2.7708333333333224,0,2,0.5676670520303704,0.9470497876900001,8.44704978769,2.426003851333436,3,Email,4.33334,4.687892687935603,01/05/2018 08:00:00,01/05/2018 16:30:33,0.28401312869997525,0,0.3545526879356036,0.28401312869997525,closed,NPS,7,42,3,4.32192112543215,4.997798691965087
8,2.8984656089722893,False,07/03/2018 21:33:47,3.020833333333333,5,4,0.7726066866345445,0.9285194165799986,8.428519416579999,2.949472049634485,4,Email,7.305885128443201,7.69504865180849,01/08/2018 07:20:28,01/08/2018 16:40:52,2.33334,0,0.38916352336528875,2.33334,closed,NPS,7,42,6,1.0009822029382294,5.20146402010468
8,2.8984656089722893,False,07/03/2018 21:33:47,3.020833333333333,5,4,0.7726066866345445,0.9285194165799986,8.428519416579999,2.949472049634485,1,Interaction,3.671072295606834,3.9900406335351,01/04/2018 16:06:20,01/04/2018 23:45:39,0.0,0,0.31896833792826623,0.0,closed,NPS,7,42,6,1.0009822029382294,5.20146402010468
8,2.8984656089722893,False,07/03/2018 21:33:47,3.020833333333333,5,4,0.7726066866345445,0.9285194165799986,8.428519416579999,2.949472049634485,2,Interaction,4.33334,4.715410878387873,01/05/2018 08:00:00,01/05/2018 17:10:11,0.34329936646490006,0,0.3820708783878737,0.34329936646490006,closed,NPS,7,42,6,1.0009822029382294,5.20146402010468
8,2.8984656089722893,False,07/03/2018 21:33:47,3.020833333333333,5,4,0.7726066866345445,0.9285194165799986,8.428519416579999,2.949472049634485,3,Email,4.715410878387873,4.9725451284432,01/05/2018 17:10:11,01/05/2018 23:20:27,0.0,0,0.25713425005532764,0.0,closed,NPS,7,42,6,1.0009822029382294,5.20146402010468
